的	白勹丶
猫	犭艹田
醉	酉亠从十
祭	祭
貌	豸白儿
池	氵也
琴	王王今
寂	宀上小又
遥	爫缶辶
瓶	丷开瓦
羽	羽
昆	日比
辉	光冖车
吞	天口
牲	牜生
哀	{衣框}口
昌	日日
厌	厂犬
晶	日日日
剂	齐刂
绩	纟龶贝
筹	{竹头}{寿字头}寸
柱	木主
搬	扌舟殳
莲	艹车辶
鹰	广亻隹鸟
鞋	革圭
俊	亻厶八夂
恼	忄㐫
瞪	目癶豆
俱	亻{具字头}八
稿	禾高
搭	扌艹合
僧	亻丷{曾字头无丷}日
纠	纟丩
亏	亏
睁	目{尔字头}{争字底}
弥	弓{尔字头}小
践	{足旁}戋
猪	犭者
迈	万辶
瘦	疒臼丨又
浅	氵戋
挣	扌{尔字头}{争字底}
逻	罒夕辶
宿	宀亻百
疲	疒皮
邻	今丶阝
惑	戈口一心
胖	月半
丛	从一
跪	{足旁}{尔字头}厂㔾
傻	亻囟八夂
贾	覀贝
稀	禾乂{左字框}巾
脏	月广土
慰	尸示寸心
廷	壬廴
饰	饣{卧人}巾
鉴	{览字头}金
贷	亻弋贝
祥	礻羊
葛	艹曷
冠	冖元寸
跨	{足旁}大亏
耗	耒毛
赔	贝咅
悬	且厶心
仲	亻中
拦	扌䒑二
戈	戈
粒	米立
遣	{贵字头}㠯辶
捉	扌足
赢	{赢字框}贝
拨	扌发
傅	亻甫寸
仆	亻卜
锦	钅白巾
趁	走{全字头}彡
贤	{贤字头}贝
贪	今贝
澳	氵{向字框}米大
削	肖刂
衰	{衣框}{衰字腰}
扔	扌乃
卓	{卢字头}早
湿	{温字框}业
瞬	目{爱字头}舛
桃	木儿{率字腰}
鼠	鼠
辖	{车旁}宀丰口
遂	丷豕辶
闷	门心
雕	{周字框}土口隹
邮	由阝
誉	兴言
暖	日爫一友
阔	门氵舌
乾	龺{卧人}乛
祸	礻呙
押	扌甲
枚	木攵
梯	木丷弓{弟省无弓}
豆	豆
歇	曷欠
嫌	女䒑{聿三}{兼无䒑无彐}
碗	石宀夕㔾
涂	氵{全字头}{余字底}
挖	扌穴乛
抑	扌{卬字旁}卩
烂	火䒑二
契	丰刀大
娃	女圭
循	彳{反字框}十目
渔	氵鱼
嘉	壴力口
丑	乛{里无日}
赋	贝一弋止
斤	斤
勾	勹厶
寺	土寸
吼	口子⺃
坛	土云
惟	忄隹
邀	敫辶
械	木戈廾
滴	氵{立无横}冂古
赴	走卜
堪	土其⺃
帽	巾{冒字头}目
帅	{师字旁}巾
逊	子小辶
傲	亻敖
吨	口屯
仓	{全字头}㔾
浩	氵{告字头}口
寸	寸
姿	冫欠女
覆	覀彳{卧人}日夂
闯	门马
愚	日{禺字底}心
痕	疒艮
牺	牜西
瑟	王王心丿
唤	口奂
赌	贝者
庙	广由
蔡	艹祭
扁	户{扁字心}
哩	口里
煤	火甘木
玻	王皮
汪	氵王
苗	艹田
峡	山夹
敦	{享字头}子攵
逆	䒑䶹辶
纹	纟文
宅	宀丿七
妥	爫女
忌	己心
郁	{左字框}{青字底}阝
笼	{竹头}龙
盐	土卜皿
玲	王今丶
唇	辰口
耀	光羽隹
慎	忄直八
秩	禾丿夫
涨	氵弓长
墓	莫土
饿	饣我
陵	阝土八夂
羞	{差字头}乛{里无日}
恒	忄一旦
纽	纟乛{里无日}
弓	弓
糖	米唐
锐	钅丷兄
缝	纟夂丰辶
夸	大亏
喘	口山而
碧	王白石
卧	臣卜
宏	宀{左字框}厶
岗	山冂乂
惩	彳正心
谨	讠革二
疏	{疏字旁}㐬
斥	斤丶
滋	氵䒑幺幺
串	吕丨
漠	氵莫
屏	尸丷开
悔	忄{卧人}母
溜	氵{留字头}田
挨	扌厶矢
档	木{尚字头}彐
雇	户隹
扇	户羽
蛮	{变字头}虫
鸿	氵工鸟
歼	歹千
砍	石欠
欠	欠
糟	米一曲日
添	氵天{恭字底}
柴	此木
屠	尸者
勉	{免五}儿力
肌	月几
齿	齿
赐	贝日{黎右角}丿
桂	木圭
刷	尸巾刂
聊	耳卯
肝	月干
捷	扌一{聿三}龰
喂	口田一{畏字底}
舱	舟{全字头}㔾
啥	口{全字头}{舍字底}
唉	口厶矢
磁	石䒑幺幺
茫	{落字框}亡
嫁	女宀豕
乙	乛
嘿	口黑
瓜	瓜
丘	{丘无横}一
菌	艹囗禾
粹	米亠从十
催	亻山隹
吩	口分
披	扌皮
履	尸彳{卧人}日夂
乳	爫子⺃
煞	刍攵灬
廉	广䒑{聿三}{兼无䒑无彐}
兹	䒑幺幺
儒	亻{雨头}而
扯	扌止
狐	犭瓜
姊	女{姊字边}
缠	纟广里
伐	亻戈
矮	矢禾女
姜	{美字头}女
绘	纟{全字头}云
卿	{卯字旁}{即字旁}卩
斩	{车旁}斤
穴	穴
肤	月夫
陛	阝比土
鹏	月月鸟
肿	月中
辅	{车旁}甫
肖	肖
沃	氵夭
巫	工从
罩	罒{卢字头}早
柄	木一内
缴	纟敫
潘	氵釆田
蜂	虫夂丰
窝	穴呙
舌	舌
晴	日龶{青字底}
弘	弓厶
隶	{隶字框}{率字腰}
悠	{修字旁}攵心
耕	耒井
郡	君阝
爵	爫罒{即字旁}寸
奸	女干
绳	纟黾
辨	{辛旁}{刀中}辛
溃	氵{贵字头}贝
婴	贝贝女
孝	耂子
怖	忄{左字框}巾
丫	丷丨
愁	禾火心
亭	{亮字头}丁
携	扌隹乃
泄	氵廿⺃
疫	疒殳
谭	讠覀早
翠	羽亠从十
霞	{雨头}叚
惹	艹{左字框}口心
酷	酉{告字头}口
癌	疒口吅山
翰	龺{全字头}羽
昂	日{卬字旁}卩
劈	辟刀
甜	舌甘
棉	木白巾
剥	{录字头}氺刂
卑	卑
矣	厶矢
袍	衤包
轨	{车旁}九
卜	卜
柯	木可
吟	口今
鞭	革亻更
宰	宀辛
脖	月{索字头}子
俘	亻爫子
辱	辰寸
尿	尸水
莉	艹禾刂
咽	口囗大
臭	自犬
吻	口{黎右角}丿
疆	弓土一田一田一
饱	饣包
抹	扌末
愣	忄罒方
凑	冫{春字头}天
芬	艹分
朕	月关
畏	田一{畏字底}
骤	马耳又乑
禅	礻丷旦丨
拾	扌合
炉	火户
渴	氵曷
铃	钅今丶
妨	女方
填	土直八
豫	予象
劣	少力
竭	立曷
愉	忄亼{青字底}刂
摔	扌亠幺{率字腰}十
览	{览字头}见
顽	元页
脆	月{尔字头}厂㔾
吵	口少
泡	氵包
毅	立{豕省}殳
吊	口巾
扮	扌分
狄	犭火
腔	月穴工
遮	{度字框}灬辶
鹿	鹿
肠	月乛{横两撇}
灌	氵艹吅隹
夕	夕
址	土止
壳	{壳字头}几
氧	气羊
屁	尸比
饶	饣{尧字头}兀
狭	犭夹
摘	扌{立无横}冂古
芒	芒
棋	木其
讼	讠公
杆	木干
翁	公羽
倘	亻尚
胃	田{青字底}
拆	扌斤丶
盒	合皿
驰	马也
鲍	鱼包
纲	纟冂乂
璃	王㐫禸
艳	丰{尔字头}巴
匪	匚非
蓄	艹亠幺田
妄	亡女
姚	女儿{率字腰}
漏	氵尸雨
秒	禾少
柜	木巨
掏	扌勹缶
函	𠄏{率字腰}凵
哎	口艹乂
於	方{全字头}{冬字底}
裤	衤广车
猴	犭亻{候右角}矢
枯	木古
喉	口亻{候右角}矢
悦	忄丷兄
痴	疒矢口
畜	亠幺田
衫	衤彡
寨	{寒字头}朩
誓	扌斤言
翅	支羽
膀	月{立无横}冖方
钦	钅欠
纤	纟千
厨	厂豆寸
撑	扌{尚头}手
宴	宀日女
锅	钅呙
涛	氵{寿字头}寸
淮	氵隹
盈	乃又皿
胎	月厶口
崩	山月月
拐	扌另
轩	{车旁}干
茨	艹冫欠
盆	分皿
崖	山厂圭
砸	石匚巾
刹	乂朩刂
姬	女{颐字旁}
晕	日冖车
赚	贝䒑{聿三}{兼无䒑无彐}
囊	{囊字头}吅{寒字腰}{衣省}
凄	冫{妻字头}女
膜	月莫
葬	艹歹匕廾
挽	扌{免五}儿
耸	从耳
脾	月卑
诞	讠{延字心}廴
懒	忄束{尔字头}贝
妃	女己
斑	王文王
崔	山隹
後	彳幺夂
嫂	女臼丨又
颠	直八页
棵	木果
佐	亻{左字框}工
尉	尸示寸
陡	阝走
眨	目丿之
陀	阝宀匕
陕	阝夹
蜜	宀心丿虫
饲	饣乛{同字心}
肺	月{丙三}丨
颈	{经右角}工页
眠	目民
喃	口十{身字框}{南字心}
撕	扌其斤
驳	马爻
摊	扌又隹
朴	木卜
拘	扌句
酬	酉{横三点}川
朔	䒑䶹月
爪	爪
寇	宀元攴
岭	山今丶
裕	衤谷
僵	亻一田一田一
卵	卵
盼	目分
赠	贝丷{曾字头无丷}日
狮	犭{师字旁}一巾
逝	扌斤辶
藤	艹月龹氺
湘	氵相
棍	木日比
堵	土者
歪	不正
窃	穴七刀
冻	冫{东二}小
俯	亻广亻寸
虹	虫工
陌	阝百
骄	马夭{乔字底}
甫	甫
盲	亡目
姻	女囗大
畅	申乛{横两撇}
拓	扌石
啸	口⺺{乔字底}八
抄	扌少
昭	日刀口
猩	犭日生
拱	扌共
摧	扌山隹
菩	艹咅
蓬	艹夂丰辶
铭	钅夕口
浙	氵扌斤
洒	氵西
氛	气分
饥	饣几
踢	{足旁}日{黎右角}丿
璇	王{旅字框}疋
泊	氵白
琼	王京
锡	钅日{黎右角}丿
滩	氵又隹
捧	扌{春字头}{举字底}
讶	讠牙
咳	口亥
嘱	口尸丿口{禺字底}
绵	纟白巾
筒	{竹头}冂{同字心}
冈	冂乂
萍	{落字框}平
挪	扌{那字旁}阝
辟	辟
钩	钅勹厶
歧	止支
芝	艹之
谅	讠京
逢	夂丰辶
鼎	目{鼎字框}
廊	广丶{即字旁}阝
吁	口一{于无横}
栏	木䒑二
巾	巾
罕	㓁干
链	钅车辶
溪	氵爫幺大
趟	走尚
坑	土亠几
躯	身区
吏	{同字心}𘱌
歉	䒑{聿三}{兼无䒑无彐}欠
沾	氵占
妮	女尸匕
筋	{竹头}月力
殷	㐆殳
棒	木{春字头}{举字底}
坠	阝人土
渊	氵丿米丨
匠	匚斤
耍	而女
葡	艹勹甫
寡	宀頁刀
捏	扌日土
鸭	甲鸟
冤	冖兔
钉	钅丁
舟	舟
瞎	目宀丰口
笨	{竹头}本
辰	辰
瞒	目艹两
剪	䒑{青字底}刂刀
耻	耳止
漆	氵木{全字头}氺
阎	门{负字头}臼
骇	马亥
擅	扌亠囗口旦
孕	乃子
诡	讠{尔字头}厂㔾
莎	{落字框}少
昔	龷日
蠢	{春字头}日虫虫
宠	宀龙
茅	艹矛
谦	讠䒑{聿三}{兼无䒑无彐}
淋	氵林
账	贝长
胶	月交
玑	王几
胀	月长
庸	广⺺{青字底}
衙	行五口
乞	{卧人}乛
媚	女{眉字框}目
膝	月木{全字头}氺
逮	{隶字框}{率字腰}辶
宛	宀夕㔾
翔	{差字头}羽
夷	{大框}弓
骚	马又丶虫
荆	艹开刂
杭	木亠几
裸	衤果
乖	千北
姨	女{大框}弓
哑	口亚
嚷	口{衣框}吅{寒字腰}
旺	日王
叉	又丶
恍	忄光
惶	忄白王
咒	吅几
镖	钅覀示
亨	{享字头}了
窜	穴吕丨
杖	木{左字框}丶
蝶	虫廿⺃木
逸	兔辶
恕	女口心
搏	扌甫寸
焰	火{负字头}臼
绣	纟禾乃
禧	礻壴口
淫	氵爫壬
丐	丅一⺃
碑	石卑
鹅	我鸟
蒲	{落字框}甫
阐	门丷旦丨
轿	{车旁}夭{乔字底}
伞	{全字头}丷十
蔽	艹㡀攵
咐	口亻寸
兆	儿{率字腰}
爽	{大框}爻爻
豹	豸勹丶
弦	弓亠幺
薪	艹亲斤
冥	冖日六
捐	扌口{青字底}
谎	讠芒{荒字底}
愧	忄鬼
衷	{衣框}中
倏	{修字旁}夂犬
猿	犭土口{衣省}
哇	口圭
粘	米占
栽	{载字框}木
浦	氵甫
掀	扌斤欠
脂	月匕日
嘲	口龺月
框	木匚王
矩	矢巨
龟	{尔字头}{龟字底}
叠	又双冖且
谊	讠宀且
脊	{率字腰}人{青字底}
刮	舌刂
兔	兔
哨	口肖
娶	耳又女
聘	耳由丂
慨	忄{即字旁}旡
俺	亻大电
嗓	口又双木
舅	臼田力
寓	宀日{禺字底}
戚	戊上小
仑	仑
恳	艮心
瘤	疒{留字头}田
掘	扌尸出
浴	氵谷
倡	亻日日
裹	{衣框}果
圳	土川
渠	氵巨木
钓	钅勹丶
涵	氵𠄏{率字腰}凵
泼	氵发
瓷	冫欠瓦
祈	礻斤
窄	穴乍
拂	扌弗
巢	巛果
贞	{卢字头}贝
纱	纟少
绑	纟{寿字头}阝
茂	艹戊
砖	石专
谱	讠䒑业日
坟	土文
噢	口{向字框}米大
硕	石页
侄	亻至
蹲	{足旁}酋寸
甩	月⺃
匈	勹凶
胳	月各
躬	身弓
徽	{微字框无一}一糸
邵	刀口阝
蜀	罒勹虫
篮	{竹头}{览字头}皿
竖	{贤字头}立
颁	分页
焉	正{与无横}灬
壶	{壳字头}业
浸	氵彐冖又
萄	艹勹缶
僚	亻大丷日小
玫	王攵
桓	木一旦
攀	木爻木大手
撰	扌巳巳共
旬	勹日
媳	女自心
嘻	口壴口
蒸	艹氶一灬
裙	衤君
滥	氵{览字头}皿
愕	忄吅亏
讽	讠风
霜	{雨头}相
诏	讠刀口
躁	{足旁}口吅木
厘	厂里
憾	忄戊{同字心}心
帘	穴巾
巷	共巳
溶	氵宀谷
勋	员力
亩	亠田
晰	日木斤
滞	氵{带字头}冖巾
舆	{舆字头框}车八
咸	戊{同字心}
衔	行钅
邱	{丘无横}一阝
挫	扌从土
搁	扌门各
桩	木广土
雀	小隹
辣	{辛旁}束
诧	讠宀丿七
哗	口化十
屡	尸娄
喻	口亼{青字底}刂
窑	穴缶
踩	{足旁}爫木
鸦	牙鸟
郊	交阝
株	木丿未
秃	禾几
禄	礻{录字头}氺
厦	厂丆目夂
卒	亠从十
丸	丸
聂	耳双
雁	厂亻隹
琳	王林
虏	虍力
汝	氵女
肢	月支
咕	口古
耽	耳冖儿
咖	口力口
煌	火白王
肆	镸聿
哄	口共
弊	㡀攵廾
耿	耳火
叮	口丁
倦	亻龹㔾
腺	月白水
彪	虎彡
鹤	冖隹鸟
尴	尢{览字头}皿
巩	工凡
焚	林火
饼	饣丷开
鄙	口十囗口阝
拢	扌龙
瞄	目艹田
勿	{黎右角}丿
菊	艹勹米
厢	厂相
腕	月宀夕㔾
斋	文而
诈	讠乍
呜	口乌
怯	忄去
铸	钅{寿字头}寸
诀	讠夬
绢	纟口{青字底}
魄	白鬼
婉	女宀夕㔾
兜	白{卬字旁}{叚右角}儿
涅	{温字框}土
禀	亠囗口示
驴	马户
垄	龙土
擒	扌{全字头}㐫禸
囚	囗人
捞	扌{荧字头}力
舶	舟白
倚	亻大可
喀	口宀各
贱	贝戋
稣	鱼禾
冀	北田共
厄	厂㔾
溢	氵{益字头}皿
炭	山{左字框}火
稽	禾尢丶匕日
渗	氵厶大彡
泣	氵立
罐	缶艹吅隹
螺	虫田糸
衍	行氵
狡	犭交
桶	木甬
塌	土日羽
卸	{卸字旁}卩
嘶	口其斤
帆	巾凡
侨	亻夭{乔字底}
逗	豆辶
昧	日未
蓦	莫马
坎	土欠
棺	木宀㠯
荐	艹{在字框}子
雌	止{比字旁}隹
棚	木月月
靖	立龶{青字底}
裴	非衣
栖	木西
钧	钅勹冫
贩	贝{反字框}又
啡	口非
衬	衤寸
兑	丷兄
榜	木{立无横}冖方
魁	鬼斗
谜	讠米辶
毙	比歹匕
麽	麻丿厶
瞥	㡀攵目
纺	纟方
掷	扌关阝
肾	{贤字头}{青字底}
烛	火虫
谬	讠羽{全字头}彡
锻	钅{段字旁}殳
芦	艹户
膨	月壴彡
珊	王册
刃	刀丶
隙	阝小日小
垒	厶厶厶土
嫩	女束攵
钥	钅月
塘	土唐
韵	音勹冫
旱	日干
咨	冫欠口
喇	口束刂
驼	马宀匕
颂	公页
譬	辟言
尹	尹
傍	亻{立无横}冖方
坊	土方
哟	口纟勹丶
忖	忄寸
霉	{雨头}{卧人}母
苹	艹平
佣	亻用
搂	扌娄
堤	土是
怡	忄厶口
淘	氵勹缶
谍	讠廿⺃木
藩	{落字框}釆田
贬	贝丿之
斧	父斤
糕	米{美字头}灬
俞	亼{青字底}刂
颖	匕禾页
砰	石平
稻	禾爫臼
熙	{颐字旁}巳灬
盏	戋皿
棠	{尚头}木
黯	黑音
襄	{衣框}吅{寒字腰}
烤	火耂丂
詹	{尔字头}厂八言
煮	者灬
魅	鬼未
蕴	艹纟日皿
谐	讠比白
谕	讠亼{青字底}刂
骆	马各
捆	扌囗木
剿	巛果刂
枕	木冖儿
轴	{车旁}由
笛	{竹头}由
挟	扌夹
逾	亼{青字底}刂辶
咧	口歹刂
斌	文一弋止
捡	扌亼{应字心}
壤	土{衣框}吅{寒字腰}
黛	亻弋黑
沼	氵刀口
辐	{车旁}{同字心}田
娱	女口天
淑	氵上小又
淹	氵大电
窦	穴{卖字头}⺀大
呐	口内
灿	火山
迦	力口辶
绅	纟申
禽	{全字头}㐫禸
犬	犬
倩	亻龶{青字底}
彦	产彡
伽	亻力口
蹄	{足旁}{立无横}冖巾
枢	木区
啪	口扌白
妾	妾
搅	扌{学无子}见
汁	氵十
凛	冫亠囗口示
羡	{美字头}冫欠
伺	亻乛{同字心}
蚁	虫丶𘱌
剖	咅刂
幢	巾童
绞	纟交
瞅	目禾火
俏	亻肖
娟	女口{青字底}
奢	大者
膊	月甫寸
谴	讠{贵字头}㠯辶
丙	一内
滨	氵宀兵
窥	穴夫见
斐	非文
祷	礻{寿字头}寸
藉	艹耒龷日
敞	尚攵
厮	厂其斤
凰	{风省}白王
咯	口各
顷	{比字旁}页
沸	氵弗
绸	纟{周字框}土口
椎	木隹
莹	{荧字头}玉
垫	执土
廖	广羽{全字头}彡
捣	扌{鸟省}山
叩	口卩
蜡	虫龷日
侮	亻{卧人}母
眸	目厶牛
逛	犭王辶
芙	艹夫
炒	火少
谣	讠爫缶
沫	氵末
咋	口乍
屯	屯
屑	尸肖
瑰	王鬼
峻	山厶八夂
喧	口宀一旦
晒	日西
莽	艹犬廾
矢	矢
熬	敖灬
龚	龙共
撇	扌㡀攵
梳	木㐬
醇	酉{享字头}子
辜	古辛
迄	{卧人}乛辶
匙	是匕
嫉	女疒矢
睹	目者
镑	钅{立无横}冖方
诵	讠甬
嗅	口自犬
痒	疒羊
栗	覀木
颊	夹页
缅	纟面
缚	纟甫寸
樱	木贝贝女
妒	女户
麟	{鹿旁}米舛
逍	肖辶
潭	氵覀早
芯	艹心
郝	土{亦字底}阝
蛛	虫丿未
凳	癶豆几
堕	阝{左字框}{青字底}土
揉	扌矛木
婢	女卑
梭	木厶八夂
嗣	口{扁字心}乛{同字心}
虞	虍口天
垃	土立
妓	女支
勘	其⺃力
篷	{竹头}夂丰辶
乍	乍
桐	木冂{同字心}
缕	纟娄
叱	口{化字边}
鲸	鱼京
贿	贝{左字框}{青字底}
趴	{足旁}八
朽	木丂
硅	石圭
奎	大圭
钞	钅少
磕	石去皿
瑶	王爫缶
隋	阝{左字框}工{青字底}
憎	忄丷{曾字头无丷}日
蔑	艹罒戊丶
馨	士{眉字框}殳禾日
杏	木口
栋	木{东二}小
昼	尺旦
苟	艹句
腥	月日生
萝	艹罒夕
弩	女又弓
碌	石{录字头}氺
寝	宀丬彐冖又
倭	亻禾女
垮	土大亏
岚	山风
燥	火口吅木
姥	女老
沦	氵仑
兀	兀
铅	钅几口
砂	石少
兮	八丂
牟	厶牛
哉	{载字框}口
浆	丬夕水
虐	虍{虐字底}
嗡	口公羽
旷	日广
沮	氵且
帖	巾占
诛	讠丿未
鳞	鱼米舛
涯	氵厂圭
遁	{反字框}十目辶
澄	氵癶豆
锤	钅垂
滔	氵爫臼
寞	宀莫
妆	丬女
蹦	{足旁}山月月
阮	阝元
募	莫力
敷	甫方攵
眯	目米
汹	氵凶
嘟	口者阝
霆	{雨头}壬廴
褐	衤曷
畴	田{寿字头}寸
蚕	天虫
嚼	口爫罒{即字旁}寸
奠	酋大
榴	木{留字头}田
拙	扌出
蚀	饣虫
荫	艹阝月
鸽	合鸟
咦	口{大框}弓
甸	勹田
吱	口支
泌	氵心丿
暮	莫日
挠	扌{尧字头}兀
叭	口八
灶	火土
峨	山我
蓉	艹宀谷
菱	艹土八夂
稚	禾隹
澡	氵口吅木
蔓	艹日罒又
泻	氵冖与
裘	求衣
溅	氵贝戋
丞	氶一
秉	{禾框}{聿三}
绒	纟戈{左字框}
遏	曷辶
彬	林彡
熄	火自心
朦	月{荧字头}一豕
琢	王豕丶
膏	{高头}{青字底}
泳	氵丶{永无点}
凿	业{南字心}凵
敛	亼{应字心}攵
庐	广户
惭	忄{车旁}斤
畔	田半
沧	氵{全字头}㔾
酿	酉丶艮
阀	门亻戈
虔	虍文
侣	亻吕
匀	勹冫
拯	扌氶一
莺	{荧字头}鸟
屿	山与
沪	氵户
叟	臼丨又
藻	{落字框}口吅木
雍	亠乡隹
瘫	疒又隹
蹈	{足旁}爫臼
揽	扌{览字头}见
氢	气{经右角}工
豁	宀丰口谷
骸	骨亥
陋	阝一内⺃
捂	扌五口
冶	冫厶口
懈	忄角刀牛
坪	土平
蔬	艹{疏字旁}㐬
翘	{尧字头}兀羽
嘎	口丆目戈
缔	纟{立无横}冖巾
钮	钅乛{里无日}
娥	女我
讥	讠几
晤	日五口
灼	火勹丶
舵	舟宀匕
纬	纟韦
圾	土及
澜	氵门束丷
茎	艹{经右角}工
鄂	吅亏阝
歹	歹
邹	刍阝
枉	木王
琉	王㐬
庇	广比
杉	木彡
跋	{足旁}友丶
梢	木肖
戳	羽隹戈
蝉	虫丷旦丨
毯	毛火火
萎	艹禾女
裳	{尚头}衣
绰	纟{卢字头}早
佑	亻{左字框}口
狸	犭里
拚	扌厶廾
窟	穴尸出
硫	石㐬
腻	月弋二贝
憋	㡀攵心
凹	{凹无横}一
赎	贝{卖字头}⺀大
崎	山大可
烁	火{乐二}小
嚣	吅页吅
焕	火奂
暑	日者
扛	扌工
匕	匕
揣	扌山而
凸	{凸无横}一
怠	厶口心
觅	爫见
呕	口区
孽	艹{追字心}辛子
楞	木罒方
矫	矢夭{乔字底}
潇	氵艹⺺{乔字底}八
簇	{竹头}{旅字框}矢
浇	氵{尧字头}兀
枣	{丙三}{木无横}{冬字底}
绥	纟爫女
芽	艹牙
蝇	虫黾
僻	亻辟
榻	木日羽
宦	宀臣
沐	氵木
毋	毋
碟	石廿⺃木
仕	亻士
戎	戈{左字框}
呻	口申
啼	口{立无横}冖巾
虾	虫下
樊	木爻木大
棕	木宀示
萌	艹日月
嫣	女正{与无横}灬
伶	亻今丶
鞘	革肖
删	册刂
嵌	山甘欠
暇	日叚
蛟	虫交
茵	艹囗大
驯	马川
炕	火亠几
碳	石山{左字框}火
烫	氵乛{横两撇}火
咚	口夂{冬字底}
苑	艹夕㔾
蚂	虫马
厥	厂䒑䶹欠
雯	{雨头}文
赦	土{亦字底}攵
慷	忄广{隶字框}{率字腰}
旭	九日
煎	䒑{青字底}刂灬
惕	忄日{黎右角}丿
颓	禾几页
坝	土贝
悍	忄日干
匿	匚艹{左字框}口
噪	口口吅木
涡	氵呙
禹	丿口{禺字底}
敝	㡀攵
缸	缶工
簿	{竹头}氵甫寸
坤	土申
琐	王{尚字头}贝
蚊	虫文
粟	覀米
诫	讠戈廾
髓	骨{左字框}工{青字底}辶
梵	林凡
溯	氵䒑䶹月
蝴	虫古月
尬	尢介
涩	氵刀丶止
揪	扌禾火
窘	穴君
棘	{丙三}{木无横}{丙三}{木无横}
盔	{左字框}火皿
喔	口尸至
婶	女宀申
踱	{足旁}{度字框}又
嗜	口老日
啤	口卑
哺	口甫
奕	亦大
淳	氵{享字头}子
镶	钅{衣框}吅{寒字腰}
晌	日{向字框}口
粪	米共
铲	钅产
瑜	王亼{青字底}刂
冢	冖豕丶
唾	口垂
庵	广大电
扼	扌厂㔾
聋	龙耳
庚	广{聿三}人
膛	月{尚头}土
疤	疒巴
叨	口刀
佟	亻夂{冬字底}
绷	纟月月
棱	木土八夂
慑	忄耳双
筷	{竹头}忄夬
庶	{度字框}灬
沁	氵心
渺	氵目少
迂	一{于无横}辶
梨	禾刂木
拣	扌{东二}{拣字边无七}
葫	艹古月
浏	氵文刂
橡	木象
扳	扌{反字框}又
嘘	口虍业
牡	牜土
贮	贝宀一
窍	穴工丂
襟	衤林示
眷	龹目
弧	弓瓜
癫	疒直八页
葱	艹勹{横两撇}丶心
熏	千黑
噗	口业{养字头}
炯	火冂口
稼	禾宀豕
鞠	革勹米
塑	䒑䶹月土
栅	木册
霎	{雨头}妾
匣	匚甲
厕	厂贝刂
眩	目亠幺
岔	分山
缆	纟{览字头}见
谏	讠束丷
呃	口厂㔾
唔	口五口
懿	{壳字头}豆冫欠心
斟	其⺃斗
拧	扌宀丁
嗤	口屮一虫
磅	石{立无横}冖方
尧	{尧字头}兀
鳍	鱼老日
肘	月寸
帜	巾只
晦	日{卧人}母
搓	扌{差字头}工
粥	弓米弓
枫	木风
琪	王其
裔	衣{𠕉字底}口
彰	立早彡
瞻	目{尔字头}厂八言
邑	邑
吭	口亠几
垣	土一旦
嗽	口束欠
皓	白{告字头}口
竿	{竹头}干
嚎	口{亮字头}豕
拽	扌{曳无丿}丿
倪	亻臼儿
胧	月龙
峭	山肖
攸	{修字旁}攵
瓣	{辛旁}瓜辛
忿	分心
扒	扌八
嘀	口{立无横}冂古
桨	丬夕木
锥	钅隹
梗	木更
蹬	{足旁}癶豆
夭	夭
俭	亻亼{应字心}
淌	氵尚
廓	广{享字头}子阝
浊	氵虫
碱	石戊{同字心}
迭	丿夫辶
讳	讠韦
逞	口王辶
邸	氏丶阝
檀	木亠囗口旦
磷	石米舛
撼	扌戊{同字心}心
踉	{足旁}丶艮
娅	女亚
绽	纟定
哆	口多
诬	讠工从
靴	革化
冉	冉
芸	艹云
奚	爫幺大
宵	宀肖
戟	龺戈
札	木⺃
蛙	虫圭
擎	艹句攵手
沛	氵{丙三}丨
硝	石肖
崛	山尸出
槽	木一曲日
喽	口娄
礁	石隹灬
哮	口耂子
腮	月田心
蜘	虫矢口
妞	女乛{里无日}
刁	乛一
栓	木{全字头}王
熔	火宀谷
懊	忄{向字框}米大
